stockcode,description,quantity,revenue,profit,inventorydays,status
10002,INFLATABLE POLITICAL GLOBE ,860,759.89,189.9725,5.093023255813953,Normal
10002,,177,0.0,0.0,24.74576271186441,Normal
10080,check,22,0.0,0.0,199.0909090909091,Low
10080,GROOVY CACTUS INFLATABLE,303,119.09,29.7725,14.455445544554456,Normal
10080,,170,0.0,0.0,25.764705882352942,Normal
10120,DOGGY RUBBER,193,40.53,10.1325,22.694300518134717,Normal
10123C,HEARTS WRAPPING TAPE ,5,3.25,0.8125,876.0,Low
10123C,,-18,0.0,0.0,-243.33333333333334,Normal
10123G,,-38,0.0,0.0,-115.26315789473685,Normal
10124A,SPOTS ON RED BOOKCOVER TAPE,16,6.72,1.68,273.75,Low
10124G,ARMY CAMO BOOKCOVER TAPE,17,7.14,1.785,257.6470588235294,Low
10125,MINI FUNKY DESIGN TAPES,1296,994.84,248.71,3.3796296296296298,Normal
10133,COLOURING PENCILS BROWN TUBE,2857,1540.02,385.005,1.5330766538326916,Normal
10133,damaged,-82,0.0,0.0,-53.41463414634146,Normal
10134,,-19,0.0,0.0,-230.5263157894737,Normal
10135,COLOURING PENCILS BROWN TUBE,2230,2206.14,551.535,1.9641255605381165,Normal
11001,ASSTD DESIGN RACING CAR PEN,1430,2152.39,538.0975,3.062937062937063,Normal
15030,FAN BLACK FRAME ,143,41.47,10.3675,30.62937062937063,Normal
15030,,150,0.0,0.0,29.2,Normal
15034,PAPER POCKET TRAVELING FAN ,5206,731.73,182.9325,0.841336918939685,Normal
15036,ASSORTED COLOURS SILK FAN,23082,18064.16,4516.04,0.18975825318429945,Normal
15036,,-530,0.0,0.0,-8.264150943396228,Normal
15039,SANDALWOOD FAN,2065,1957.39,489.3475,2.1210653753026634,Normal
15044A,PINK PAPER PARASOL ,463,1453.77,363.4425,9.460043196544277,Normal
15044B,BLUE PAPER PARASOL ,320,943.88,235.97,13.6875,Normal
15044B,,-27,0.0,0.0,-162.22222222222223,Normal
15044C,PURPLE PAPER PARASOL,311,1017.89,254.4725,14.083601286173632,Normal
15044D,RED PAPER PARASOL,643,1817.21,454.3025,6.811819595645412,Normal
15056bl,EDWARDIAN PARASOL BLACK,87,1086.88,271.72,50.3448275862069,Low
15056BL,EDWARDIAN PARASOL BLACK,2714,15176.34,3794.085,1.6138540899042004,Normal
15056n,EDWARDIAN PARASOL NATURAL,127,1585.28,396.32,34.48818897637795,Normal
15056N,EDWARDIAN PARASOL NATURAL,3897,21839.04,5459.76,1.123941493456505,Normal
15056p,EDWARDIAN PARASOL PINK,33,412.48,103.12,132.72727272727272,Low
15056P,EDWARDIAN PARASOL PINK,768,4308.62,1077.155,5.703125,Normal
15058A,BLUE POLKADOT GARDEN PARASOL,195,1631.14,407.785,22.46153846153846,Normal
15058A,wet/rusty,-30,0.0,0.0,-146.0,Normal
15058A,,20,0.0,0.0,219.0,Low
15058B,PINK POLKADOT GARDEN PARASOL,223,1847.92,461.98,19.64125560538117,Normal
15058B,,-61,0.0,0.0,-71.8032786885246,Normal
15058C,ICE CREAM DESIGN GARDEN PARASOL,240,1429.82,357.455,18.25,Normal
15058C,wet/rusty,-30,0.0,0.0,-146.0,Normal
15060b,FAIRY CAKE DESIGN UMBRELLA,3,24.87,6.2175,1460.0,Low
15060B,FAIRY CAKE DESIGN UMBRELLA,450,1803.8,450.95,9.733333333333333,Normal
15060B,,-43,0.0,0.0,-101.86046511627906,Normal
16008,check,-1510,0.0,0.0,-2.9006622516556293,Normal
16008,SMALL FOLDING SCISSOR(POINTED EDGE),2892,360.71,90.1775,1.5145228215767634,Normal
16010,FOLDING CAMPING SCISSOR W/KNIF & S,30,3.6,0.9,146.0,Low
16010,,-7,0.0,0.0,-625.7142857142857,Normal
16011,ANIMAL STICKERS,1773,372.33,93.0825,2.470389170896785,Normal
16012,FOOD/DRINK SPONGE STICKERS,1244,261.24,65.31,3.520900321543408,Normal
16014,SMALL CHINESE STYLE SCISSOR,13328,4335.76,1083.94,0.3286314525810324,Normal
16015,MEDIUM CHINESE STYLE SCISSOR,662,289.98,72.495,6.616314199395771,Normal
16015,,-289,0.0,0.0,-15.155709342560554,Normal
16016,LARGE CHINESE STYLE SCISSOR,1273,1053.45,263.3625,3.4406912804399057,Normal
16020C,CLEAR STATIONERY BOX SET ,84,69.9,17.475,52.142857142857146,Low
16020C,,-7,0.0,0.0,-625.7142857142857,Normal
16033,MINI HIGHLIGHTER PENS,840,100.8,25.2,5.214285714285714,Normal
16033,,120,0.0,0.0,36.5,Normal
16043,POP ART PUSH DOWN RUBBER ,98,11.76,2.94,44.693877551020414,Normal
16043,,-45,0.0,0.0,-97.33333333333333,Normal
16045,check,-900,0.0,0.0,-4.866666666666666,Normal
16045,POPART WOODEN PENCILS ASST,8900,380.0,95.0,0.49213483146067416,Normal
16045,,-3667,0.0,0.0,-1.1944368693755114,Normal
16046,TEATIME PEN CASE & PENS,68,57.8,14.45,64.41176470588235,Low
16046,,21,0.0,0.0,208.57142857142858,Low
16048,TEATIME ROUND PENCIL SHARPENER ,1461,205.42,51.355,2.9979466119096507,Normal
16049,TEATIME GEL PENS ASST,504,82.08,20.52,8.69047619047619,Normal
16049,,43,0.0,0.0,101.86046511627906,Low
16052,TEATIME PUSH DOWN RUBBER,479,115.3,28.825,9.144050104384133,Normal
16052,,-16,0.0,0.0,-273.75,Normal
16053,,-102,0.0,0.0,-42.94117647058823,Normal
16054,POPART RECT PENCIL SHARPENER ASST,1058,127.56,31.89,4.1398865784499055,Normal
16151A,FLOWERS HANDBAG blue and orange,49,61.25,15.3125,89.38775510204083,Low
16151A,,-2,0.0,0.0,-2190.0,Normal
16156L,WRAP CAROUSEL,375,157.5,39.375,11.68,Normal
16156L,"WRAP, CAROUSEL",100,42.0,10.5,43.8,Normal
16156S,WRAP PINK FAIRY CAKES ,5800,2331.0,582.75,0.7551724137931035,Normal
16156S,,-110,0.0,0.0,-39.81818181818182,Normal
16161G,WRAP BAD HAIR DAY,700,70.0,17.5,6.257142857142857,Normal
16161M,WRAP  PINK FLOCK,25,10.5,2.625,175.2,Low
16161P,WRAP ENGLISH ROSE ,7201,2980.42,745.105,0.608248854325788,Normal
16161U,WRAP SUKI AND FRIENDS,4050,1677.0,419.25,1.0814814814814815,Normal
16162L,THE KING GIFT BAG,20,13.0,3.25,219.0,Low
16162L,,-24,0.0,0.0,-182.5,Normal
16162M,alan hodge cant mamage this section,30,0.0,0.0,146.0,Low
16162M,THE KING GIFT BAG 25x24x12cm,28,11.76,2.94,156.42857142857142,Low
16162M,,-84,0.0,0.0,-52.142857142857146,Normal
16168M,found,44,0.0,0.0,99.54545454545455,Low
16168M,FUNKY MONKEY GIFT BAG MEDIUM,371,173.12,43.28,11.805929919137466,Normal
16169E,check,-313,0.0,0.0,-13.993610223642174,Normal
16169E,WRAP 50'S  CHRISTMAS,4438,1839.96,459.99,0.9869310500225327,Normal
16169K,WRAP FOLK ART,200,84.0,21.0,21.9,Normal
16169K,,-25,0.0,0.0,-175.2,Normal
16169M,WRAP DAISY CARPET ,660,277.2,69.3,6.636363636363637,Normal
16169N,WRAP BLUE RUSSIAN FOLKART,25,10.5,2.625,175.2,Low
16169P,WRAP GREEN RUSSIAN FOLKART ,50,21.0,5.25,87.6,Low
16169P,,-75,0.0,0.0,-58.4,Normal
16202A,PASTEL PINK PHOTO ALBUM ,7,3.5,0.875,625.7142857142857,Low
16202B,PASTEL BLUE PHOTO ALBUM ,29,14.5,3.625,151.0344827586207,Low
16202B,,-9,0.0,0.0,-486.6666666666667,Normal
16202E,BLACK PHOTO ALBUM ,14,1.95,0.4875,312.85714285714283,Low
16206B,RED PURSE WITH PINK HEART,7,8.75,2.1875,625.7142857142857,Low
16207A,check,2,0.0,0.0,2190.0,Low
16207A,PINK STRAWBERRY HANDBAG ,60,163.1,40.775,73.0,Low
16207A,,1,0.0,0.0,4380.0,Low
16207B,PINK HEART RED HANDBAG,29,76.14,19.035,151.0344827586207,Low
16207B,,0,0.0,0.0,inf,Low
16216,LETTER SHAPE PENCIL SHARPENER,3333,234.0,58.5,1.3141314131413142,Normal
16218,CARTOON  PENCIL SHARPENERS,3821,283.31,70.8275,1.1462967809473958,Normal
16219,HOUSE SHAPE PENCIL SHARPENER,3000,404.84,101.21,1.46,Normal
16225,RATTLE SNAKE EGGS,815,691.85,172.9625,5.374233128834356,Normal
16235,RECYCLED PENCIL WITH RABBIT ERASER,3103,702.75,175.6875,1.411537222043184,Normal
16236,KITTY PENCIL ERASERS,1438,320.09,80.0225,3.0458970792767732,Normal
16237,SLEEPING CAT ERASERS,4934,1035.96,258.99,0.8877178759627077,Normal
16238,PARTY TIME PENCIL ERASERS,1398,322.09,80.5225,3.133047210300429,Normal
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,7,7.85,1.9625,625.7142857142857,Low
16244B,,-5,0.0,0.0,-876.0,Normal
16248B,BLUE HOLE PUNCH,13,16.25,4.0625,336.92307692307696,Low
16248B,,2,0.0,0.0,2190.0,Low
