"stockcode","description","quantity","revenue","profit"
"10002","INFLATABLE POLITICAL GLOBE ","860","759.8900","189.972500"
"10002","","177","0.0000","0.000000"
"10080","check","22","0.0000","0.000000"
"10080","GROOVY CACTUS INFLATABLE","303","119.0900","29.772500"
"10080","","170","0.0000","0.000000"
"10120","DOGGY RUBBER","193","40.5300","10.132500"
"10123C","HEARTS WRAPPING TAPE ","5","3.2500","0.812500"
"10123C","","-18","0.0000","0.000000"
"10123G","","-38","0.0000","0.000000"
"10124A","SPOTS ON RED BOOKCOVER TAPE","16","6.7200","1.680000"
"10124G","ARMY CAMO BOOKCOVER TAPE","17","7.1400","1.785000"
"10125","MINI FUNKY DESIGN TAPES","1296","994.8400","248.710000"
"10133","COLOURING PENCILS BROWN TUBE","2857","1540.0200","385.005000"
"10133","damaged","-82","0.0000","0.000000"
"10134","","-19","0.0000","0.000000"
"10135","COLOURING PENCILS BROWN TUBE","2230","2206.1400","551.535000"
"11001","ASSTD DESIGN RACING CAR PEN","1430","2152.3900","538.097500"
"15030","FAN BLACK FRAME ","143","41.4700","10.367500"
"15030","","150","0.0000","0.000000"
"15034","PAPER POCKET TRAVELING FAN ","5206","731.7300","182.932500"
"15036","ASSORTED COLOURS SILK FAN","23082","18064.1600","4516.040000"
"15036","","-530","0.0000","0.000000"
"15039","SANDALWOOD FAN","2065","1957.3900","489.347500"
"15044A","PINK PAPER PARASOL ","463","1453.7700","363.442500"
"15044B","BLUE PAPER PARASOL ","320","943.8800","235.970000"
"15044B","","-27","0.0000","0.000000"
"15044C","PURPLE PAPER PARASOL","311","1017.8900","254.472500"
"15044D","RED PAPER PARASOL","643","1817.2100","454.302500"
"15056bl","EDWARDIAN PARASOL BLACK","87","1086.8800","271.720000"
"15056BL","EDWARDIAN PARASOL BLACK","2714","15176.3400","3794.085000"
"15056n","EDWARDIAN PARASOL NATURAL","127","1585.2800","396.320000"
"15056N","EDWARDIAN PARASOL NATURAL","3897","21839.0400","5459.760000"
"15056p","EDWARDIAN PARASOL PINK","33","412.4800","103.120000"
"15056P","EDWARDIAN PARASOL PINK","768","4308.6200","1077.155000"
"15058A","BLUE POLKADOT GARDEN PARASOL","195","1631.1400","407.785000"
"15058A","wet/rusty","-30","0.0000","0.000000"
"15058A","","20","0.0000","0.000000"
"15058B","PINK POLKADOT GARDEN PARASOL","223","1847.9200","461.980000"
"15058B","","-61","0.0000","0.000000"
"15058C","ICE CREAM DESIGN GARDEN PARASOL","240","1429.8200","357.455000"
"15058C","wet/rusty","-30","0.0000","0.000000"
"15060b","FAIRY CAKE DESIGN UMBRELLA","3","24.8700","6.217500"
"15060B","FAIRY CAKE DESIGN UMBRELLA","450","1803.8000","450.950000"
"15060B","","-43","0.0000","0.000000"
"16008","check","-1510","0.0000","0.000000"
"16008","SMALL FOLDING SCISSOR(POINTED EDGE)","2892","360.7100","90.177500"
"16010","FOLDING CAMPING SCISSOR W/KNIF & S","30","3.6000","0.900000"
"16010","","-7","0.0000","0.000000"
"16011","ANIMAL STICKERS","1773","372.3300","93.082500"
"16012","FOOD/DRINK SPONGE STICKERS","1244","261.2400","65.310000"
"16014","SMALL CHINESE STYLE SCISSOR","13328","4335.7600","1083.940000"
"16015","MEDIUM CHINESE STYLE SCISSOR","662","289.9800","72.495000"
"16015","","-289","0.0000","0.000000"
"16016","LARGE CHINESE STYLE SCISSOR","1273","1053.4500","263.362500"
"16020C","CLEAR STATIONERY BOX SET ","84","69.9000","17.475000"
"16020C","","-7","0.0000","0.000000"
"16033","MINI HIGHLIGHTER PENS","840","100.8000","25.200000"
"16033","","120","0.0000","0.000000"
"16043","POP ART PUSH DOWN RUBBER ","98","11.7600","2.940000"
"16043","","-45","0.0000","0.000000"
"16045","check","-900","0.0000","0.000000"
"16045","POPART WOODEN PENCILS ASST","8900","380.0000","95.000000"
"16045","","-3667","0.0000","0.000000"
"16046","TEATIME PEN CASE & PENS","68","57.8000","14.450000"
"16046","","21","0.0000","0.000000"
"16048","TEATIME ROUND PENCIL SHARPENER ","1461","205.4200","51.355000"
"16049","TEATIME GEL PENS ASST","504","82.0800","20.520000"
"16049","","43","0.0000","0.000000"
"16052","TEATIME PUSH DOWN RUBBER","479","115.3000","28.825000"
"16052","","-16","0.0000","0.000000"
"16053","","-102","0.0000","0.000000"
"16054","POPART RECT PENCIL SHARPENER ASST","1058","127.5600","31.890000"
"16151A","FLOWERS HANDBAG blue and orange","49","61.2500","15.312500"
"16151A","","-2","0.0000","0.000000"
"16156L","WRAP CAROUSEL","375","157.5000","39.375000"
"16156L","WRAP, CAROUSEL","100","42.0000","10.500000"
"16156S","WRAP PINK FAIRY CAKES ","5800","2331.0000","582.750000"
"16156S","","-110","0.0000","0.000000"
"16161G","WRAP BAD HAIR DAY","700","70.0000","17.500000"
"16161M","WRAP  PINK FLOCK","25","10.5000","2.625000"
"16161P","WRAP ENGLISH ROSE ","7201","2980.4200","745.105000"
"16161U","WRAP SUKI AND FRIENDS","4050","1677.0000","419.250000"
"16162L","THE KING GIFT BAG","20","13.0000","3.250000"
"16162L","","-24","0.0000","0.000000"
"16162M","alan hodge cant mamage this section","30","0.0000","0.000000"
"16162M","THE KING GIFT BAG 25x24x12cm","28","11.7600","2.940000"
"16162M","","-84","0.0000","0.000000"
"16168M","found","44","0.0000","0.000000"
"16168M","FUNKY MONKEY GIFT BAG MEDIUM","371","173.1200","43.280000"
"16169E","check","-313","0.0000","0.000000"
"16169E","WRAP 50'S  CHRISTMAS","4438","1839.9600","459.990000"
"16169K","WRAP FOLK ART","200","84.0000","21.000000"
"16169K","","-25","0.0000","0.000000"
"16169M","WRAP DAISY CARPET ","660","277.2000","69.300000"
"16169N","WRAP BLUE RUSSIAN FOLKART","25","10.5000","2.625000"
"16169P","WRAP GREEN RUSSIAN FOLKART ","50","21.0000","5.250000"
"16169P","","-75","0.0000","0.000000"
"16202A","PASTEL PINK PHOTO ALBUM ","7","3.5000","0.875000"
"16202B","PASTEL BLUE PHOTO ALBUM ","29","14.5000","3.625000"
"16202B","","-9","0.0000","0.000000"
"16202E","BLACK PHOTO ALBUM ","14","1.9500","0.487500"
"16206B","RED PURSE WITH PINK HEART","7","8.7500","2.187500"
"16207A","check","2","0.0000","0.000000"
"16207A","PINK STRAWBERRY HANDBAG ","60","163.1000","40.775000"
"16207A","","1","0.0000","0.000000"
"16207B","PINK HEART RED HANDBAG","29","76.1400","19.035000"
"16207B","","0","0.0000","0.000000"
"16216","LETTER SHAPE PENCIL SHARPENER","3333","234.0000","58.500000"
